date,algo_id,total_pnl,trades_count,wins,losses
2024-07-05 00:00:00,algo2,3800.0,1,1,0
2024-09-09 00:00:00,algo2,3800.0,1,1,0
2025-01-27 00:00:00,algo2,3800.0,1,1,0
2024-09-11 00:00:00,algo2,3800.0,1,1,0
2024-07-31 00:00:00,algo2,3800.0,1,1,0
2024-04-29 00:00:00,algo2,-10200.0,1,0,1
2024-09-02 00:00:00,algo2,3800.0,1,1,0
2024-10-15 00:00:00,algo2,3800.0,1,1,0
2024-04-03 00:00:00,algo2,3800.0,1,1,0
2024-04-23 00:00:00,algo2,3800.0,1,1,0
2024-06-28 00:00:00,algo2,3800.0,1,1,0
2024-12-23 00:00:00,algo2,3800.0,1,1,0
2024-01-19 00:00:00,algo2,3800.0,1,1,0
2024-02-15 00:00:00,algo2,3800.0,1,1,0
2024-04-12 00:00:00,algo2,3800.0,1,1,0
2024-01-12 00:00:00,algo2,3800.0,1,1,0
2025-03-19 00:00:00,algo2,3800.0,1,1,0
2025-05-05 00:00:00,algo2,3800.0,1,1,0
2025-05-07 00:00:00,algo2,-10200.0,1,0,1
2024-08-01 00:00:00,algo2,3800.0,1,1,0
2024-09-24 00:00:00,algo2,3800.0,1,1,0
2024-05-17 00:00:00,algo2,3800.0,1,1,0
2024-06-20 00:00:00,algo2,3800.0,1,1,0
2024-02-01 00:00:00,algo2,3800.0,1,1,0
2025-02-24 00:00:00,algo2,3800.0,1,1,0
2024-05-10 00:00:00,algo2,3800.0,1,1,0
2024-12-09 00:00:00,algo2,3800.0,1,1,0
2024-02-23 00:00:00,algo2,3800.0,1,1,0
2024-07-22 00:00:00,algo2,3800.0,1,1,0
2025-01-03 00:00:00,algo2,-10200.0,1,0,1
2024-11-14 00:00:00,algo2,3800.0,1,1,0
2024-11-25 00:00:00,algo2,3800.0,1,1,0
2024-08-07 00:00:00,algo2,3800.0,1,1,0
2024-02-27 00:00:00,algo2,3800.0,1,1,0
2024-12-04 00:00:00,algo2,3800.0,1,1,0
2024-11-27 00:00:00,algo2,3800.0,1,1,0
2024-07-30 00:00:00,algo2,3800.0,1,1,0
2024-06-12 00:00:00,algo2,3800.0,1,1,0
2024-11-01 00:00:00,algo2,3800.0,1,1,0
2024-08-26 00:00:00,algo2,3800.0,1,1,0
2024-01-25 00:00:00,algo2,3800.0,1,1,0
2024-03-05 00:00:00,algo2,3800.0,1,1,0
2024-09-16 00:00:00,algo2,3800.0,1,1,0
2025-03-13 00:00:00,algo2,3800.0,1,1,0
2024-06-10 00:00:00,algo2,3800.0,1,1,0
2024-08-09 00:00:00,algo2,3800.0,1,1,0
2024-03-12 00:00:00,algo2,3800.0,1,1,0
2024-01-02 00:00:00,algo2,3800.0,1,1,0
2024-10-24 00:00:00,algo2,3800.0,1,1,0
2024-02-19 00:00:00,algo2,3800.0,1,1,0
2025-02-03 00:00:00,algo2,3800.0,1,1,0
2024-05-28 00:00:00,algo2,3800.0,1,1,0
2024-08-02 00:00:00,algo2,3800.0,1,1,0
2024-09-05 00:00:00,algo2,3800.0,1,1,0
2024-05-21 00:00:00,algo2,3800.0,1,1,0
2024-12-24 00:00:00,algo2,3800.0,1,1,0
2025-03-27 00:00:00,algo2,3800.0,1,1,0
2025-01-23 00:00:00,algo2,3800.0,1,1,0
